X,Y,fid,stop_name
684160.0792,7462353.2268,387,Corpo de Bombeiros - Santa Teresa
679468.6095,7467921.3183,388,Colégio Estadual Compositor Luiz Carlos da Vila
684284.7683,7462491.9166,389,Escadaria dos Prazeres
685394.7298,7465039.7125,390,Senado
681915.9599,7467961.5981,391,Santo Antônio
687214.3815,7462771.1304,392,Barão do Flamengo
686103.5545,7465028.7713,393,"BRS 1,2,3,4,I: Inválidos"
686397.0271,7464965.452,394,"BRS 1,2,3,4,I: Av. Mem de Sá"
685301.752,7464987.6928,395,Ponto Final: Paula Matos
686023.0167,7465153.8092,396,"BRS 1,2,4,5,I: Rua dos Inválidos"
681689.3154,7468015.7141,397,Parque Alegria
682127.9255,7467668.8752,398,Ricardo Machado
687273.9397,7463180.5174,399,Buarque de Macedo
686953.8303,7464841.052,400,Passeio
686258.7103,7465205.3928,401,Relação
686385.1245,7464857.3919,402,Riachuelo
681815.3949,7467134.6095,403,Teixeira Junior
686099.1548,7464755.2624,404,André Cavalcanti
686550.0243,7464875.9542,405,Lavradio
686410.663,7465139.0573,406,Rezende
687007.0292,7464613.5667,407,Ponto Final: Passeio :: Linhas para Pavuna
687282.5367,7464046.1839,408,Praça Luiz de Camões
686303.4717,7464800.4758,409,Inválidos
685355.4826,7462598.0687,410,Consulado do Sri Lanka
685385.9666,7462574.4354,411,Consulado do Sri Lanka
685486.3574,7462446.3866,412,Laranjeiras
684080.3123,7462255.7415,413,Condomínio Equitativa
685415.4521,7462553.0294,414,"Alice, 922"
685012.9419,7462354.1884,415,EDI Professora Sarita Konder
684691.1868,7462382.5008,416,Doutor Júlio Otoni
684524.5521,7462688.8931,417,Túnel Rio Comprido
687243.1877,7462463.9804,418,Tucumã
687029.7738,7464619.2655,419,Joaquim Silva :: Pista Lateral
686962.5912,7464057.9064,420,Estação Glória
686897.8616,7462643.2598,421,São Salvador
687062.8032,7462295.1036,422,Cruz Lima
686899.2655,7462392.4928,423,Fernando Osório
686784.0777,7461987.8927,424,Clarice Índio do Brasil
684935.1353,7462383.4964,425,"Doutor Júlio Otoni, 120"
685043.1376,7462574.4397,426,"Doutor Júlio Otoni, 244"
684797.8879,7462576.3411,427,Solar do Alto
684840.675,7462568.839,428,Solar do Alto
683744.4398,7461546.8106,429,"Almirante Alexandrino, 5286"
685211.5922,7464479.8861,430,Padre Miguelinho
685389.8056,7463412.1325,431,Hospital de Clínicas IV Centenário
685683.0014,7464170.2921,432,"Oriente, 371"
685660.1736,7464191.0626,433,"Oriente, 386"
686876.2096,7462303.5101,434,Estação Flamengo
681386.3219,7467753.5522,435,Ricardo Machado
